trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-08-01,Vancouver Island/Coast,NANAIMO,758,740,42,4,2,2,506,129,5,50,10,7,2,1,4,1,3,338778939,446937.9,369950,5325634.34,4920,24,13916857,579869,539000,
2016-09-01,Vancouver Island/Coast,NANAIMO,635,607,28,3,2,5,345,98,11,115,22,9,10,3,4,,2,242830096,382409.6,330000,3548347.38,4300,25,14152700,566108,518400,
2016-10-01,Vancouver Island/Coast,NANAIMO,551,539,33,1,,1,249,69,3,183,8,1,1,6,4,,,219584951,398520.8,363000,3098474.09,4900,25,17134211,685368.4,540000,
2016-06-01,Vancouver Island/Coast,POWELL RIVER,87,82,10,,,,63,6,,3,3,2,,1,1,,1,24568800,282400,255000,332869.45,3100,,,,,
2016-07-01,Vancouver Island/Coast,POWELL RIVER,96,90,11,,,3,69,3,,4,4,1,,3,2,,,23734258,247231.9,210750,318639.67,2215,,,,,
2016-08-01,Vancouver Island/Coast,POWELL RIVER,81,79,7,,1,1,61,2,,7,1,1,,,,,1,22888683,282576.3,269900,296548.9,3000,,,,,
2016-09-01,Vancouver Island/Coast,POWELL RIVER,58,56,4,,,1,39,3,,9,2,,,2,,,,17103350,294885.3,268950,215685.25,3280,,,,,
2016-10-01,Vancouver Island/Coast,POWELL RIVER,57,55,2,1,1,,30,4,,17,1,1,,,,1,,16261813,285295,265000,220864.01,3300,,,,,
2016-06-01,Vancouver Island/Coast,STRATHCONA,163,157,2,,,1,129,23,,2,4,2,,2,2,,,49531225,303872.5,280500,657485.5,3200,,,,,
2016-07-01,Vancouver Island/Coast,STRATHCONA,140,138,1,,,,113,19,,5,2,2,,,,,,47381750,338441.1,303950,680960.74,3740,,,,,
2016-08-01,Vancouver Island/Coast,STRATHCONA,165,161,7,1,,2,121,27,,3,4,3,,1,,,,52004055,315176.1,299900,687277.23,3518,,,,,
2016-09-01,Vancouver Island/Coast,STRATHCONA,159,156,7,3,,,101,21,,24,2,2,,,1,,,45382521,285424.7,272500,571405.91,3200,,,,,
2016-10-01,Vancouver Island/Coast,STRATHCONA,144,139,3,1,,,92,12,,31,1,1,,,4,,,41892776,290922.1,281000,537379.43,3398,,,,,
2016-06-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,367,138311865,376871.6,281000,
2016-07-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,137,58851585,429573.6,315000,
2016-08-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,82,72623507,885652.5,420750,
2016-09-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,131,64878213,495253.5,220000,
2016-10-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,113,44908516,397420.5,208000,
2016-11-01,Cariboo,CARIBOO,133,117,24,5,5,1,77,3,,2,8,5,,3,2,5,1,26126295,196438.3,170000,334494.71,1700,,,,,
2016-11-01,Cariboo,FRASER-FORT GEORGE,180,168,34,2,2,3,105,9,1,12,5,2,,3,3,3,1,42600281,236668.2,211500,507030.56,1800,,,,,
2016-11-01,Kootenay,CENTRAL KOOTENAY,126,120,18,3,3,,81,8,,7,2,2,,,2,2,,30401522,241281.9,230000,390736.11,2400,,,,,
2016-11-01,Kootenay,EAST KOOTENAY,222,188,22,3,3,6,99,52,,3,19,17,,2,8,4,3,83051006,374103.6,239500,1510418.1,2790,,,,,
2016-11-01,Kootenay,KOOTENAY BOUNDARY,74,72,6,1,1,,55,8,,1,2,1,,1,,,,12457521,168344.9,135500,155539.2,1355,,,,,
2016-11-01,Mainland/Southwest,FRASER VALLEY,870,849,33,5,14,6,377,261,8,145,12,7,2,3,6,2,1,408335017,469350.6,389949.5,6283624.06,5000,,,,,
2016-11-01,Mainland/Southwest,METRO VANCOUVER,5120,5013,44,16,11,38,1358,2214,34,1298,99,33,46,20,1,2,5,4559759521,890578,549000,109307455.3,8616.35,209,212438644,1016452.8,544000,24064623
2016-11-01,Mainland/Southwest,SQUAMISH-LILLOOET,247,219,11,2,2,,67,90,22,25,14,2,8,4,14,,,191094732,773662.9,492000,3525217.43,7840,,,,,
2016-11-01,Mainland/Southwest,SUNSHINE COAST,77,73,6,1,1,,44,14,,7,1,,,1,2,,1,38575799,500984.4,447000,600980.9,6300,,,,,
2016-11-01,Nechako & North Coast,BULKLEY-NECHAKO,67,62,22,1,,,33,2,,4,2,1,,1,,2,1,12250785,182847.5,135000,156823.28,1350,,,,,
2016-11-01,Nechako & North Coast,KITIMAT-STIKINE,45,45,9,1,,,33,2,,,,,,,,,,9226982,205044,205000,111561,1650,,,,,
2016-11-01,Nechako & North Coast,NORTH COAST,42,40,1,,,,36,3,,,1,1,,,1,,,6616363,157532.5,129500,82808.63,1295,,,,,
2016-11-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,134,108,15,,1,,76,9,,7,10,9,,1,,16,,43615141,325486.1,239950,680108.83,2549,,,,,
2016-11-01,Thompson/Okanagan,CENTRAL OKANAGAN,680,652,24,2,5,3,304,207,5,102,19,5,7,7,5,3,1,345414726,507962.8,398250,5499920.43,5423,13,5133300,394869.2,379900,
2016-11-01,Thompson/Okanagan,COLUMBIA SHUSWAP,156,149,12,3,4,1,93,23,,13,3,2,,1,1,3,,48824657,312978.6,300000,670564.7,3900,,,,,
2016-11-01,Thompson/Okanagan,NORTH OKANAGAN,302,282,27,2,8,,170,58,2,15,6,1,3,2,7,6,1,123110459,407650.5,335000,1897389.92,4450,,,,,
2016-11-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,297,265,30,3,4,5,129,71,2,21,9,8,,1,16,6,1,106473201,358495.6,285000,1566048.58,3140,,,,,
2016-11-01,Thompson/Okanagan,THOMPSON-NICOLA,322,292,32,1,5,,204,37,4,9,16,10,6,,4,8,2,118427283,367786.6,331599,1662209.85,4175,,,,,
2016-11-01,Unknown/Rural,RURAL,380,294,76,4,9,,177,21,2,5,34,5,24,5,23,9,20,118802055,312637,250000,1828358.74,2910,,,,,
2016-11-01,Unknown/Rural,UNKNOWN,33,30,,,,,,4,,26,,,,,2,1,,19946276,604432.6,478000,340026.95,7560,,,,,
2016-11-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,119,114,15,,2,2,72,9,7,7,4,4,,,1,,,33492543,281449.9,227500,467313.81,2400,,,,,
2016-11-01,Vancouver Island/Coast,CAPITAL,879,848,34,6,3,17,431,279,11,67,29,6,10,13,,,2,541969094,616574.6,495238.1,9130357.36,7470,40,32587579,814689.5,760000,
2016-11-01,Vancouver Island/Coast,COMOX VALLEY,172,166,11,2,,,107,31,2,13,2,2,,,2,,2,65037808,378126.8,347450,883395.11,4025,,,,,
2016-11-01,Vancouver Island/Coast,COWICHAN VALLEY,159,153,16,2,1,1,104,24,,5,3,2,1,,1,1,1,55294998,347767.3,335000,713396.82,3888,,,,,
2016-11-01,Vancouver Island/Coast,MOUNT WADDINGTON,21,21,1,1,,1,13,5,,,,,,,,,,5412997,257761.8,161500,80547.44,1615,,,,,
2016-11-01,Vancouver Island/Coast,NANAIMO,461,447,25,6,,3,284,78,3,48,8,5,2,1,4,1,1,200021625,433886.4,367000,2990001.39,4980,19,11168162,587798,646000,
2016-11-01,Vancouver Island/Coast,POWELL RIVER,36,35,4,,,,30,,,1,1,1,,,,,,16628900,461913.9,374500,270459,4089,,,,,
2016-11-01,Vancouver Island/Coast,STRATHCONA,124,120,3,4,,3,87,15,,8,4,4,,,,,,42719400,344511.3,290500,587542.75,3269,,,,,
2016-11-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,,113,57179599,506014.2,289627.5
2016-12-01,Cariboo,CARIBOO,101,98,33,,2,,54,6,,3,3,3,,,,,,17519204,173457.5,162900,201309.79,1550,,,,,
2016-12-01,Cariboo,FRASER-FORT GEORGE,152,140,28,2,,1,95,11,,3,9,6,,3,1,2,,40724377,267923.5,237700,524359.89,2550,,,,,
2016-12-01,Kootenay,CENTRAL KOOTENAY,131,124,24,6,,,87,3,,4,5,4,,1,1,,1,31686951,241885.1,230000,422616.7,2500,,,,,
2016-12-01,Kootenay,EAST KOOTENAY,134,122,11,3,,2,73,31,1,1,5,3,,2,5,2,,36258457,270585.5,219750,499901.63,2359,,,,,
2016-12-01,Kootenay,KOOTENAY BOUNDARY,47,46,4,,1,2,33,5,,1,,,,,1,,,11555398,245859.5,210000,191850.97,2200,,,,,
2016-12-01,Mainland/Southwest,FRASER VALLEY,647,617,14,5,15,1,300,236,17,29,16,10,3,3,2,8,4,305895997,472791.3,341500,4670978.1,4000,14,9238899,659921.4,482500,
2016-12-01,Mainland/Southwest,METRO VANCOUVER,4365,4216,38,15,13,38,1075,1954,72,1011,134,56,62,16,2,4,9,4116706254,943117.1,498241,97409660.85,7300,177,193296578,1092071.1,553900,15642591
2016-12-01,Mainland/Southwest,SQUAMISH-LILLOOET,179,163,6,1,,5,35,83,29,4,3,,2,1,12,1,,97671298,545649.7,369900,1636379.87,5000,,,,,
2016-12-01,Mainland/Southwest,SUNSHINE COAST,66,61,7,,,,40,11,,3,3,2,1,,1,,1,29214555,442644.8,354307.3,397786,4110,,,,,
2016-12-01,Nechako & North Coast,BULKLEY-NECHAKO,59,49,12,1,,1,28,5,1,1,3,3,,,3,4,,9369209,158800.2,138000,109305.08,1350,,,,,
2016-12-01,Nechako & North Coast,KITIMAT-STIKINE,29,27,2,2,,,19,4,,,1,1,,,,,1,5849741,201715.2,180000,63254.07,1500,,,,,
2016-12-01,Nechako & North Coast,NORTH COAST,27,19,1,2,,,16,,,,3,3,,,,,5,3788885,140329.1,85000,47529.7,850,,,,,
2016-12-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,118,67,16,,1,,46,3,1,,19,19,,,,32,,28966799,245481.3,181250,394776.43,1692.5,,,,,
2016-12-01,Thompson/Okanagan,CENTRAL OKANAGAN,529,517,11,3,4,3,267,199,2,28,7,6,,1,,5,,294373817,556472.2,389900,4876503.29,5200,18,7063250,392402.8,369900,
2016-12-01,Thompson/Okanagan,COLUMBIA SHUSWAP,84,74,11,1,1,,45,9,,7,4,3,,1,4,,2,28929666,344400.8,264000,438918.59,2680,,,,,
2016-12-01,Thompson/Okanagan,NORTH OKANAGAN,203,188,21,3,6,1,125,27,1,4,12,7,1,4,1,1,1,81658723,402259.7,335000,1203078.69,4140,,,,,
2016-12-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,239,222,20,2,3,1,122,66,6,2,6,2,,4,6,4,1,79970616,334605.1,277000,1080885.35,3100,,,,,
2016-12-01,Thompson/Okanagan,THOMPSON-NICOLA,257,243,21,6,6,,166,37,5,2,10,4,3,3,4,,,87828436,341744.9,316000,1209422.83,3810,,,,,
2016-12-01,Unknown/Rural,RURAL,302,256,69,8,5,,160,13,,1,12,5,,7,18,13,3,88902164,294378,229375,1337850.96,2315,,,,,
2016-12-01,Unknown/Rural,UNKNOWN,42,36,,,,,2,,,34,3,,,3,2,1,,19270730,458826.9,317047.6,311072.76,4340.95,,,,,
2016-12-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,74,73,9,2,,,52,3,6,1,1,1,,,,,,22032106,297731.2,208250,332688.68,2165,,,,,
2016-12-01,Vancouver Island/Coast,CAPITAL,790,735,21,6,,5,338,264,7,94,51,16,23,12,,2,2,492220765,623064.3,463095.2,8668415.07,6500,39,25085449,643216.6,621188,
2016-12-01,Vancouver Island/Coast,COMOX VALLEY,166,156,13,1,1,,93,36,10,2,6,3,,3,4,,,75274764,453462.4,350764.5,1198481.86,3760,,,,,
2016-12-01,Vancouver Island/Coast,COWICHAN VALLEY,109,108,6,2,,1,71,23,3,2,1,1,,,,,,32082774,294337.4,267500,430060.99,3173.5,,,,,
2016-12-01,Vancouver Island/Coast,MOUNT WADDINGTON,15,13,3,,,2,6,2,,,2,1,,1,,,,4113567,274237.8,136000,63610.33,1360,,,,,
2016-12-01,Vancouver Island/Coast,NANAIMO,320,304,15,2,1,3,183,71,8,21,10,5,4,1,5,,1,120970080,378031.5,350000,1676863.71,4480,20,10086282,504314.1,506000,
2016-12-01,Vancouver Island/Coast,POWELL RIVER,41,40,6,1,1,,30,2,,,1,1,,,,,,12486162,304540.5,274000,171274.5,3200,,,,,
2016-12-01,Vancouver Island/Coast,STRATHCONA,110,103,2,1,,1,82,14,,3,3,2,,1,,1,3,38543621,350396.6,281250,591427.2,3350,,,,,
2016-12-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,118,46266675,392090.5,245000,
2017-01-01,Cariboo,CARIBOO,106,84,26,3,2,1,37,0,0,15,8,7,0,1,5,7,2,19812786.11,186913.0765,154950,252072.32,1549.5,NA,NA,NA,NA,NA
2017-01-01,Cariboo,FRASER-FORT GEORGE,126,115,25,0,0,3,69,3,0,15,3,3,0,0,0,6,2,33566867.04,266403.7067,221500,462676.39,2400,NA,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,96,89,18,2,2,0,45,4,0,18,4,2,0,2,0,3,0,26947308.83,280701.1336,220500,381127.09,2260,NA,NA,NA,NA,NA
2017-01-01,Kootenay,EAST KOOTENAY,118,99,6,0,1,2,61,20,0,9,6,4,0,2,13,0,0,30875558.92,261657.279,208750,439246.44,2009,NA,NA,NA,NA,NA
2017-01-01,Kootenay,KOOTENAY BOUNDARY,83,71,9,1,0,1,44,8,2,6,1,0,0,1,3,8,0,18019679.24,217104.5692,185000,239437.29,1850,NA,NA,NA,NA,NA
2017-01-01,Mainland/Southwest,FRASER VALLEY,604,590,11,7,13,4,253,153,9,140,11,7,3,1,1,1,1,294538601,487646.6904,393450,4598462.23,4998,NA,NA,NA,NA,NA
2017-01-01,Mainland/Southwest,METRO VANCOUVER,3591,3449,39,4,6,34,856,1676,31,803,133,54,46,33,1,4,4,3538863980,985481.476,590000,87285901.55,9660,151,157775270.4,1044869.34,698000,17764387.97
2017-01-01,Mainland/Southwest,SQUAMISH-LILLOOET,252,199,4,5,0,3,32,70,11,74,5,3,1,1,47,0,1,118952043.2,472031.9174,344200,1929430.3,3998,NA,NA,NA,NA,NA
2017-01-01,Mainland/Southwest,SUNSHINE COAST,81,74,15,1,0,0,43,7,1,7,1,0,1,0,4,0,2,41636568.53,514031.7102,383600,681481.55,5300,NA,NA,NA,NA,NA
2017-01-01,Nechako & North Coast,BULKLEY-NECHAKO,36,29,11,0,1,0,13,0,0,4,3,2,0,1,2,0,2,4661468.46,129485.235,81500,57214.69,815,NA,NA,NA,NA,NA
2017-01-01,Nechako & North Coast,KITIMAT-STIKINE,36,30,2,1,0,0,25,0,0,2,6,4,0,2,0,0,0,8554457.05,237623.8069,179600,112238.38,1700,NA,NA,NA,NA,NA
2017-01-01,Nechako & North Coast,NORTH COAST,20,20,0,2,0,0,12,2,1,3,0,0,0,0,0,0,0,2608750,130437.5,132500,28707.5,1325,NA,NA,NA,NA,NA
2017-01-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,78,65,10,0,0,0,22,4,0,29,3,2,0,1,1,8,1,21726660.2,278546.9256,276500,268743.21,3242,NA,NA,NA,NA,NA
2017-01-01,Rest of province,Rest of province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,30616435.67,261678.9374,99200,NA
2017-01-01,Thompson/Okanagan,CENTRAL OKANAGAN,437,420,5,2,3,1,193,96,4,116,14,6,3,5,1,2,0,245929375.9,562767.4506,425000,4133550.09,6000,10,5170000,517000,535000,NA
2017-01-01,Thompson/Okanagan,COLUMBIA SHUSWAP,137,128,21,1,3,1,75,14,0,13,5,4,0,1,2,1,1,35891531.65,261981.9828,231000,487833.69,2218,NA,NA,NA,NA,NA
2017-01-01,Thompson/Okanagan,NORTH OKANAGAN,141,129,4,2,2,2,73,24,1,21,11,4,1,6,1,0,0,65077581.96,461543.1345,335000,1047471.66,4400,NA,NA,NA,NA,NA
2017-01-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,164,145,7,0,2,2,63,48,0,23,6,5,0,1,5,8,0,68676552.43,418759.466,311000,1076426.46,3100,NA,NA,NA,NA,NA
2017-01-01,Thompson/Okanagan,THOMPSON-NICOLA,194,179,15,2,7,1,101,18,0,35,10,5,0,5,3,0,2,67450146.46,347681.1673,300000,937983.56,3801.9,NA,NA,NA,NA,NA
2017-01-01,Unknown,UNKNOWN,72,69,0,0,0,0,2,4,1,62,1,0,0,1,1,1,0,32895744,456885.3333,332250,529293.44,4645,NA,NA,NA,NA,NA
2017-01-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,100,91,21,3,0,0,54,5,2,6,1,1,0,0,7,1,0,37593014.34,375930.1434,289500,585757.57,3790,NA,NA,NA,NA,NA
2017-01-01,Vancouver Island/Coast,CAPITAL,619,603,22,1,1,6,260,169,5,139,15,5,7,3,0,0,1,375223689.4,606177.2042,498800,6153973.38,7400,41,34830798.62,849531.6737,840000,NA
2017-01-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,20,20,4,0,0,0,12,1,0,3,0,0,0,0,0,0,0,3217400,160870,148750,36999,1487.5,NA,NA,NA,NA,NA
2017-01-01,Vancouver Island/Coast,COMOX VALLEY,155,144,9,3,0,0,65,25,3,39,10,3,1,6,0,1,0,51330675.25,331165.6468,310000,725765.05,4000,NA,NA,NA,NA,NA
2017-01-01,Vancouver Island/Coast,COWICHAN VALLEY,139,133,8,1,0,1,78,13,0,32,5,0,2,3,0,1,0,48766998.37,350841.7149,333000,635208.08,3680,NA,NA,NA,NA,NA
2017-01-01,Vancouver Island/Coast,NANAIMO,285,271,10,0,0,2,129,31,1,98,11,5,2,4,2,1,0,119870059.8,420596.7011,340000,1748599.84,4500,16,9973828.76,623364.2975,545750,NA
2017-01-01,Vancouver Island/Coast,POWELL RIVER,41,39,0,0,0,0,35,1,0,3,0,0,0,0,2,0,0,9567600.96,233356.121,234000,122676.16,2500,NA,NA,NA,NA,NA
2017-01-01,Vancouver Island/Coast,STRATHCONA,95,93,5,4,0,1,56,10,1,16,2,2,0,0,0,0,0,29143700,306775.7895,279900,389058,3000,NA,NA,NA,NA,NA
2017-02-01,Cariboo,CARIBOO,113,104,29,0,5,1,66,2,0,1,1,1,0,0,3,4,1,22391261,198152.7522,168100,296415.06,1650,NA,NA,NA,NA,NA
2017-02-01,Cariboo,FRASER-FORT GEORGE,127,121,17,1,0,3,87,11,0,2,4,2,1,1,2,0,0,36101373.04,284262.7798,236800,463194.47,2570,NA,NA,NA,NA,NA
2017-02-01,Kootenay,CENTRAL KOOTENAY,95,82,22,2,1,1,47,3,0,6,7,6,0,1,2,3,1,20374784.81,214471.4191,140000,276361.92,1266.75,NA,NA,NA,NA,NA
2017-02-01,Kootenay,EAST KOOTENAY,120,99,7,1,1,2,67,19,0,2,10,10,0,0,10,1,0,33591710.78,279930.9232,184000,544741.02,1725,NA,NA,NA,NA,NA
2017-02-01,Kootenay,KOOTENAY BOUNDARY,76,66,11,0,0,0,40,15,0,0,5,5,0,0,4,1,0,16751980.66,220420.7982,175000,227312.6,1750,NA,NA,NA,NA,NA
2017-02-01,Mainland/Southwest,FRASER VALLEY,581,530,23,1,6,4,230,170,5,91,46,5,38,3,2,2,1,268463186.7,462070.8893,379500,3753482.72,4000,12,6505938,542161.5,536875,NA
2017-02-01,Mainland/Southwest,METRO VANCOUVER,3727,3609,28,6,10,46,1010,1798,22,689,108,44,50,14,5,4,1,4493617080,1205692.804,539900,107843076.1,8400,123,107082041.1,870585.7,688000,10274145.41
2017-02-01,Mainland/Southwest,SQUAMISH-LILLOOET,170,148,2,2,0,2,51,65,21,5,3,1,2,0,18,0,1,116166335.2,683331.3838,461250,2091279.21,7225,NA,NA,NA,NA,NA
2017-02-01,Mainland/Southwest,SUNSHINE COAST,83,81,7,2,0,0,58,9,1,4,1,0,0,1,1,0,0,37915552.92,456813.8906,400000,538456.79,5580,NA,NA,NA,NA,NA
2017-02-01,Nechako & North Coast,BULKLEY-NECHAKO,55,42,9,2,0,0,28,2,0,1,4,2,0,2,3,6,0,8938520,162518.5455,135000,110373.42,1350,NA,NA,NA,NA,NA
2017-02-01,Nechako & North Coast,KITIMAT-STIKINE,27,26,4,2,0,0,17,2,0,1,1,0,0,1,0,0,0,6858929.15,254034.413,220000,94471.29,2400,NA,NA,NA,NA,NA
2017-02-01,Nechako & North Coast,NORTH COAST,26,23,3,1,0,0,18,0,1,0,3,3,0,0,0,0,0,5473901.43,210534.6704,152325,72771.01,1523.25,NA,NA,NA,NA,NA
2017-02-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,148,108,18,2,2,0,57,5,0,24,3,3,0,0,1,32,4,37970627.48,256558.2938,243490.56,530572.92,2809.81,NA,NA,NA,NA,NA
2017-02-01,Rest of province,Rest of province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,47750589.63,482329.1882,235500,NA
2017-02-01,Thompson/Okanagan,CENTRAL OKANAGAN,359,339,12,2,3,1,173,105,5,38,16,9,3,4,2,2,0,202332211,563599.4735,425900,3276722.66,6000,10,3905100,390510,369525,NA
2017-02-01,Thompson/Okanagan,COLUMBIA SHUSWAP,98,94,16,0,4,0,59,9,0,6,2,1,1,0,2,0,0,30876592.6,315067.2714,283500,430118.66,3500,NA,NA,NA,NA,NA
2017-02-01,Thompson/Okanagan,NORTH OKANAGAN,151,140,6,1,1,0,91,35,1,5,6,3,2,1,0,5,0,53574534.8,354798.2437,287000,741190.72,3398,NA,NA,NA,NA,NA
2017-02-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,143,128,10,1,4,0,58,53,0,2,8,7,0,1,3,4,0,54145387.88,378639.0761,278000,795463.14,3080,NA,NA,NA,NA,NA
2017-02-01,Thompson/Okanagan,THOMPSON-NICOLA,203,192,15,7,2,1,115,37,0,15,4,4,0,0,1,5,1,69854648.07,344111.5668,312000,986911.02,3240,NA,NA,NA,NA,NA
2017-02-01,Unknown,UNKNOWN,42,37,0,0,0,0,5,5,2,25,1,0,0,1,1,0,3,31157372.82,741842.21,408151,552738.12,6163.02,NA,NA,NA,NA,NA
2017-02-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,139,122,18,1,0,2,85,8,6,2,3,2,1,0,11,0,3,42454986.77,305431.5595,249000,623819.25,2980,NA,NA,NA,NA,NA
2017-02-01,Vancouver Island/Coast,CAPITAL,626,603,36,3,2,10,280,206,3,63,17,12,2,3,2,1,3,391215635.8,624945.1051,466735.715,6659337.96,6789,30,20749521.43,691650.7143,473285.715,NA
2017-02-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,23,21,6,0,0,0,15,0,0,0,2,2,0,0,0,0,0,3534850,153689.1304,150000,39988.5,1500,NA,NA,NA,NA,NA
