year,month,DevelopmentRegion,tot_mkt_trans,no_res_trans,n_res_acreage_trans,n_res_fam,n_res_1fam_dwelling,n_res_strata,n_res_other,n_comm_tran,n_comm_comm,n_comm_strata_nores,n_comm_other,n_recr_tran,n_farm_tran,n_unkn_tran,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,n_foreign_tran,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid,RegionalDistrict,Municipality,n_res_1fam_suite,n_res_1fam_vacant_res,n_res_1fam_other,n_res_strata_row,n_res_strata_other,n_fth,n_nbh,sum_FMV_res,sum_FMV_foreign_res,md_FMV_foreign_res,mn_FMV_foreign_res,sum_invest_foreign_res,n_foreign_res,n_foreign_nonres,n_foreign_other
2016,1,Cariboo,209,193,37,1,113,14,27,10,10,0,0,0,6,0,46926122,224526.9,174000,642123.1,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Kootenay,254,223,31,6,135,50,1,25,20,1,1,0,6,0,56094034,220842.7,195000,737476.7,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Mainland/Southwest,6740,6462,106,65,2947,2687,618,229,61,152,13,0,32,17,5743177865,852103.5,532250,101714820.2,8645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Nechako & North Coast,112,95,21,0,70,3,0,12,10,0,1,0,3,2,24335186,217278.4,145000,341294.5,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Northeast,117,102,24,0,37,7,31,7,6,0,1,0,7,1,34796083,297402.4,218000,505612.4,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Thompson/Okanagan,894,822,60,9,517,183,53,44,30,11,2,0,24,4,361146282,403966.8,324100,5583110.5,4482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Unknown/Rural,174,153,28,0,74,19,32,17,6,10,1,0,2,2,71777307,412513.3,348250,1140101.2,4965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Vancouver Island/Coast,1357,1296,62,20,807,324,83,49,27,19,3,0,6,6,582018657,428901,343992.2,9098605.6,4870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Cariboo,226,188,47,1,122,15,3,18,14,2,0,0,17,3,49475754,218919.3,176250,650643.6,1735.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Kootenay,229,206,23,6,124,52,1,12,10,1,1,0,6,5,52848627,230780,197500,720090.2,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Mainland/Southwest,6157,5811,103,58,2659,2502,482,282,71,189,17,0,44,20,5330438937,865752.6,525000,97874837.1,8220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Nechako & North Coast,104,94,27,1,60,4,0,5,5,0,0,0,5,0,18918467,181908.3,155500,238903.7,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Northeast,136,97,23,0,40,7,26,11,10,0,1,0,27,1,38435375,282613.1,200000,545827.8,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Thompson/Okanagan,873,807,67,6,478,196,59,42,21,20,1,0,21,3,326234159,373693.2,320000,4864158.5,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Unknown/Rural,209,199,61,0,86,18,34,6,0,5,1,1,3,0,87718156,419704.1,339900,1356637.8,4580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Vancouver Island/Coast,1329,1272,62,12,773,358,67,41,18,22,0,0,11,5,549404991,413397.3,335000,8407252.8,4650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Cariboo,332,304,78,4,199,18,4,17,16,1,0,0,8,3,73470948,221298,179500,975172.9,1785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Kootenay,367,343,55,4,206,78,0,15,14,1,0,0,5,4,85969704,234249.9,196000,1164964,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Mainland/Southwest,7871,7511,139,67,3446,3140,697,289,80,202,6,0,54,17,7344941205,933164.9,535000,146316687.3,8657.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Nechako & North Coast,139,120,37,1,76,6,0,15,13,1,0,0,2,2,33909741,243955,220000,467868.4,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Northeast,159,127,29,0,61,9,25,11,10,0,1,0,14,7,38703707,243419.5,215000,533741.9,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Thompson/Okanagan,1295,1171,69,5,722,314,61,73,35,32,5,1,43,7,518599294,400462.8,320000,8209272.4,4398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Unknown/Rural,243,220,43,1,115,33,28,11,2,7,2,0,8,4,154685222,636564.7,365000,3052354.6,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Vancouver Island/Coast,1745,1672,74,23,1038,451,84,60,33,20,6,0,7,6,739623645,423853.1,349900,11662609.7,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Cariboo,399,373,98,2,249,19,5,13,13,0,0,1,9,3,94078131,235784.8,210000,1251462.9,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Kootenay,411,384,52,6,255,68,3,14,13,0,1,1,7,5,120354558,292833.5,219900,1908709.1,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Mainland/Southwest,8779,8393,154,58,3866,3384,850,281,87,166,27,0,76,29,7547440679,859715.3,550000,141006300.5,8571.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Nechako & North Coast,191,172,51,0,108,6,5,9,9,0,0,0,8,2,39133566,204887.8,183000,486821,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Northeast,139,93,23,2,56,0,11,5,5,0,0,0,38,3,37599080,270497,273000,526456.2,3250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Thompson/Okanagan,1716,1620,105,11,997,417,90,53,22,16,13,0,38,5,654991130,381696.5,330000,9519131.9,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Unknown/Rural,286,263,57,0,139,40,27,13,1,10,2,1,6,3,124180179,434196.4,354900,1952524,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,Vancouver Island/Coast,2137,2049,90,25,1307,517,106,73,39,31,2,0,9,6,893162856,417951.7,345000,13106829.3,4589.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Cariboo,465,430,107,1,288,23,10,19,18,1,0,0,16,0,112888788,242771.6,214000,1472805.9,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Kootenay,507,458,70,1,317,66,4,33,29,3,0,1,13,2,122066742,240762.8,215000,1612468.9,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Mainland/Southwest,9691,9301,173,79,4433,3829,776,285,102,149,29,0,76,29,9006461839,929363.5,579900,173532048.3,9220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Nechako & North Coast,226,205,40,3,152,8,2,13,13,0,0,0,8,0,49437653,218750.7,179500,656955.5,1787.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Northeast,155,112,28,0,58,8,18,6,5,1,0,0,32,5,44259932,285547.9,200000,712730.3,1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Thompson/Okanagan,2070,1958,180,7,1210,458,103,69,42,20,5,0,37,6,875852154,423117,356750,13336926,4800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Unknown/Rural,377,362,53,0,216,41,52,9,3,6,0,0,2,4,173660146,460637,350000,2740344.6,4800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Vancouver Island/Coast,2556,2462,124,24,1571,616,114,77,44,28,3,0,9,8,1143582555,447411,365000,17550590.4,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Cariboo,638,567,137,9,363,27,13,23,20,NA,3,10,32,6,166352351,260740.4,242616.2,2216241.4,2743.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Cariboo,519,493,122,4,301,29,26,11,9,NA,2,12,3,NA,121895472,234866,215000,1604843.8,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Cariboo,487,457,110,2,308,24,8,6,5,NA,1,9,13,2,115681216,237538.4,222000,1536477.1,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Cariboo,463,442,83,4,274,34,32,10,7,NA,3,5,4,2,108025807,233317.1,205000,1399753.6,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Cariboo,422,399,87,2,216,13,68,14,7,NA,7,3,2,4,100791349,238842.1,220000,1314604.2,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Kootenay,631,599,91,5,404,73,10,20,17,NA,3,11,1,NA,164682615,260986.7,234900,2267957.4,2640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Kootenay,483,457,68,2,315,48,12,7,6,NA,1,18,1,NA,119382905,247169.6,222572.6,1595906.9,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Kootenay,442,413,53,6,282,55,11,20,17,NA,3,5,1,3,129575672,293157.6,248000,1847852.6,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Kootenay,469,445,42,3,283,56,48,14,9,NA,5,9,NA,1,130343430,277917.8,245000,1802202.7,2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Kootenay,465,433,39,NA,252,34,102,10,8,NA,2,16,3,3,119288255,256533.9,235000,1510732.4,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Mainland/Southwest,11417,11115,194,79,5073,4351,1248,219,90,85,44,52,20,11,11234099934,983980,600000,221545982.3,9780,1042,1140953059,1094964.5,686500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Mainland/Southwest,10973,10720,154,83,4756,4251,1332,190,59,95,36,33,11,19,10164033249,926276.6,606000,193406259.1,9800,1429,1807729160,1265030.9,780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Mainland/Southwest,8838,8638,136,62,3667,3604,1006,151,44,74,33,16,22,11,7815625116,884320.6,589900,149148810.9,9580,101,122622177,1214081,619000,2342545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Mainland/Southwest,7363,7069,129,52,2481,2956,1304,233,118,61,54,31,22,8,6779198970,920711.5,544164.3,140325324.4,8500,200,396796038,1983980.2,849500,8906680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Mainland/Southwest,6116,5844,71,37,1505,1961,2169,174,28,41,105,27,26,45,4596531257,751558.4,488450,94928051.3,7300,179,144345954,806402,542000,13326867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Nechako & North Coast,272,250,69,4,158,7,5,14,13,NA,1,5,2,1,55327829,203411.1,185236.1,715296.4,1807.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Nechako & North Coast,225,210,47,NA,146,5,4,6,6,NA,NA,3,5,1,44445392,197535.1,180000,567938.4,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Nechako & North Coast,196,184,42,NA,127,2,2,8,8,NA,NA,1,NA,3,47202161,240827.4,210500,643666.6,2205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Nechako & North Coast,198,175,37,2,110,5,14,5,4,NA,1,1,4,13,37039978,187070.6,181000,464218.3,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Nechako & North Coast,133,123,17,NA,78,4,20,7,4,NA,3,2,1,NA,28451151,213918.4,192500,370948,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Northeast,142,114,12,NA,72,8,16,8,4,NA,4,1,15,4,41803963,294394.1,259900,553496.2,2905.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Northeast,113,91,17,NA,66,2,1,4,3,NA,1,1,16,1,28888393,255649.5,250000,384579.9,2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Northeast,116,93,12,NA,71,4,4,14,10,NA,4,1,7,1,59623740,513997.8,280000,1080066.5,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Northeast,127,107,14,NA,68,5,13,5,4,NA,1,1,14,NA,36695943,288944.4,255000,508592.1,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Northeast,120,96,14,NA,64,1,13,10,7,NA,3,1,11,2,67316902,560974.2,255000,1458218.7,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Thompson/Okanagan,2740,2617,179,14,1650,538,110,60,46,3,11,22,30,11,1173638004,428335,360000,18074751.4,4998,143,63698096,445441.2,365000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Thompson/Okanagan,2399,2329,146,9,1493,502,136,27,21,3,3,25,11,7,1031991371,430175.6,365000,15699044.4,5020,54,26726227,494930.1,405950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Thompson/Okanagan,2535,2442,125,6,1518,568,161,43,22,8,13,25,20,5,1080646352,426290.5,369000,16408475.2,5100,41,18066315,440641.8,392000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Thompson/Okanagan,2367,2256,145,12,1226,513,311,65,40,16,9,28,13,5,1026583516,433706.6,354900,15930166.1,4840,32,11891183,371599.5,325000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Thompson/Okanagan,1833,1750,86,11,873,315,421,46,26,2,18,19,14,4,802769218,437953.7,360000,12461600.4,4910,42,38494924,916545.8,565500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Unknown/Rural,247,217,54,NA,105,4,48,10,2,3,5,13,4,3,102068574,413233.1,350000,1539986.3,4756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Unknown/Rural,243,220,45,NA,113,4,52,3,1,NA,2,6,1,13,105958278,436042.3,360000,1636894.7,5160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Unknown/Rural,615,569,98,NA,351,87,18,10,5,4,1,22,11,3,270362330,439613.5,340000,4395159.5,4580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Unknown/Rural,559,488,116,NA,255,34,66,7,2,3,2,33,22,9,208378138,372769.5,280000,3246321.8,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Unknown/Rural,419,372,90,NA,171,15,89,7,3,1,3,26,6,8,139880768,333844.3,256300,2103858.5,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,Vancouver Island/Coast,3647,3528,154,25,2179,788,176,75,30,26,19,28,3,13,1691869887,463907.3,374900,26689237.9,5100,178,86575033,486376.6,367500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,Vancouver Island/Coast,2996,2926,123,22,1897,637,213,37,18,8,11,24,2,7,1429359967,477089.4,380000,22514709.3,5320,91,57584121,632792.5,540000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,Vancouver Island/Coast,3075,3011,146,27,1910,694,185,49,28,13,8,8,2,5,1490214469,484622.6,390000,23552108.3,5440,83,62448674,752393.7,663000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,Vancouver Island/Coast,2612,2523,115,34,1371,523,437,66,33,17,16,11,5,7,1260060971,482412.3,370000,20263066.3,5080,76,50833168,668857.5,521700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,Vancouver Island/Coast,2180,2111,91,13,956,328,697,45,24,2,19,14,1,9,1045263786,479478.8,385000,16025367.4,5166.19,97,95741409,987024.8,726666.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
